BCHABCUSDT;220.08000000
BCHSVUSDT;58.90000000
BNBPAX;495.10000000
BTCPAX;51529.15000000
ETHPAX;3904.41000000
XRPPAX;0.88960000
EOSPAX;2.58450000
XLMPAX;0.04221000
RENBTC;0.00001795
RENBNB;0.00458500
BNBTUSD;480.20000000
XRPTUSD;1.08860000
EOSTUSD;4.11590000
XLMTUSD;0.06833000
BNBUSDC;479.70000000
BTCUSDC;61323.98000000
ETHUSDC;4023.69000000
XRPUSDC;1.08860000
EOSUSDC;4.69500000
XLMUSDC;0.04970000
USDCUSDT;1.00010000
ADATUSD;2.15000000
TRXTUSD;0.09992000
NEOTUSD;11.81800000
TRXXRP;0.09168000
XZCXRP;20.79200000
PAXTUSD;0.99950000
USDCTUSD;1.00000000
USDCPAX;1.00020000
LINKUSDT;30.58000000
LINKTUSD;28.87000000
LINKPAX;3.98340000
LINKUSDC;30.55000000
WAVESUSDT;28.05000000
WAVESTUSD;1.07200000
WAVESPAX;0.80290000
WAVESUSDC;1.20360000
BCHABCTUSD;220.20000000
BCHABCPAX;221.20000000
BCHABCUSDC;220.30000000
BCHSVTUSD;59.17000000
BCHSVPAX;58.18000000
BCHSVUSDC;57.50000000
LTCTUSD;194.80000000
LTCPAX;171.13000000
LTCUSDC;195.30000000
TRXPAX;0.07661000
TRXUSDC;0.09974000
BTTBTC;0.00000005
BTTBNB;0.00000758
BTTUSDT;0.00363800
BNBUSDS;22.27880000
BTCUSDS;9604.59000000
USDSUSDT;0.99680000
USDSPAX;1.00020000
USDSTUSD;1.00000000
USDSUSDC;1.00000000
BTTPAX;0.00038660
BTTTUSD;0.00364100
BTTUSDC;0.00363300
ONGBNB;0.00545000
ONGBTC;0.00002002
ONGUSDT;1.22750000
HOTBNB;0.00001999
HOTUSDT;0.00959000
ZILUSDT;0.10310000
ZRXBNB;0.01045000
ZRXUSDT;1.01460000
FETBNB;0.00162000
FETBTC;0.00001269
FETUSDT;0.77930000
BATUSDT;0.70970000
XMRBNB;0.55350000
XMRUSDT;265.80000000
ZECBNB;0.35670000
ZECUSDT;171.60000000
ZECPAX;42.10000000
ZECTUSD;51.48000000
ZECUSDC;171.30000000
IOSTBNB;0.00010613
IOSTUSDT;0.05104000
CELRBNB;0.00028556
CELRBTC;0.00000224
CELRUSDT;0.13692000
ADAPAX;0.03257000
ADAUSDC;2.15100000
NEOPAX;11.12200000
NEOUSDC;44.17000000
DASHBNB;0.40830000
DASHUSDT;195.90000000
NANOUSDT;5.40200000
OMGBNB;0.03938000
OMGUSDT;14.39800000
THETAUSDT;6.50700000
ENJUSDT;1.81400000
MITHUSDT;0.05099000
MATICBNB;0.00343100
MATICBTC;0.00002685
MATICUSDT;1.64700000
ATOMBNB;0.07479000
ATOMBTC;0.00058520
ATOMUSDT;35.90000000
ATOMUSDC;35.95000000
ATOMPAX;3.17800000
ATOMTUSD;2.59800000
ETCUSDC;4.71000000
ETCPAX;4.83800000
ETCTUSD;3.79500000
BATUSDC;0.63130000
BATPAX;0.25560000
BATTUSD;0.22220000
PHBBNB;0.00013700
PHBBTC;0.00000019
PHBUSDC;0.00587000
PHBTUSD;0.01182500
PHBPAX;0.00639000
TFUELBNB;0.00012590
TFUELBTC;0.00000482
TFUELUSDT;0.29530000
TFUELUSDC;0.00356500
TFUELTUSD;0.00307700
TFUELPAX;0.00348700
ONEBNB;0.00057260
ONEBTC;0.00000448
ONEUSDT;0.27530000
ONETUSD;0.00472000
ONEPAX;0.00496000
ONEUSDC;0.00520000
FTMBNB;0.00530940
FTMBTC;0.00004151
FTMUSDT;2.54600000
FTMTUSD;0.01095000
FTMPAX;0.01028000
FTMUSDC;0.01107000
BTCBBTC;1.00000000
BCPTTUSD;0.02606000
BCPTPAX;0.02761000
BCPTUSDC;0.02728000
ALGOBNB;0.00393900
ALGOBTC;0.00003089
ALGOUSDT;1.89420000
ALGOTUSD;1.01700000
ALGOPAX;0.20390000
ALGOUSDC;0.23800000
USDSBUSDT;0.99970000
USDSBUSDS;0.99990000
GTOUSDT;0.04693000
GTOPAX;0.01361000
GTOTUSD;0.01236000
GTOUSDC;0.01196000
ERDBNB;0.00083273
ERDBTC;0.00000168
ERDUSDT;0.01971000
ERDPAX;0.00125270
ERDUSDC;0.00135730
DOGEBNB;0.00015270
DOGEBTC;0.00000400
DOGEUSDT;0.24520000
DOGEPAX;0.00216820
DOGEUSDC;0.00212770
DUSKBNB;0.00118000
DUSKBTC;0.00000277
DUSKUSDT;0.17030000
DUSKUSDC;0.01790000
DUSKPAX;0.01890000
BGBPUSDC;1.39000000
ANKRBNB;0.00019440
ANKRBTC;0.00000153
ANKRUSDT;0.09329000
ANKRTUSD;0.00212800
ANKRPAX;0.00209300
ANKRUSDC;0.00209700
ONTPAX;0.84510000
ONTUSDC;0.57080000
WINBNB;0.00000127
WINBTC;0.00000001
WINUSDT;0.00060980
WINUSDC;0.00061280
COSBNB;0.00004563
COSBTC;0.00000035
COSUSDT;0.02190000
TUSDBTUSD;0.99750000
NPXSUSDT;0.00703010
NPXSUSDC;0.00017020
COCOSBNB;0.00172100
COCOSBTC;0.00000003
COCOSUSDT;0.82450000
MTLUSDT;3.28500000
TOMOBNB;0.03255000
TOMOBTC;0.00004195
TOMOUSDT;2.57000000
TOMOUSDC;0.36700000
PERLBNB;0.00019300
PERLBTC;0.00000151
PERLUSDC;0.02447000
PERLUSDT;0.09264000
DENTUSDT;0.00596200
MFTUSDT;0.01313600
KEYUSDT;0.01267300
STORMUSDT;0.00339700
DOCKUSDT;0.08598000
WANUSDT;0.94900000
FUNUSDT;0.02131000
CVCUSDT;0.47420000
BTTTRX;0.03642000
WINTRX;0.00611900
CHZBNB;0.00067390
CHZBTC;0.00000528
CHZUSDT;0.32340000
BANDBNB;0.02248000
BANDBTC;0.00014630
BANDUSDT;8.96800000
BNBBUSD;479.90000000
BTCBUSD;61327.86000000
BUSDUSDT;1.00010000
BEAMBNB;0.02177000
BEAMBTC;0.00001277
BEAMUSDT;0.78370000
XTZBNB;0.01404900
XTZBTC;0.00010993
XTZUSDT;6.74400000
RENUSDT;1.10050000
RVNUSDT;0.12401000
HCUSDT;0.84230000
HBARBNB;0.00078670
HBARBTC;0.00000616
HBARUSDT;0.37710000
NKNBNB;0.00074700
NKNBTC;0.00000744
NKNUSDT;0.45710000
XRPBUSD;1.08920000
ETHBUSD;4024.87000000
BCHABCBUSD;220.16000000
LTCBUSD;195.50000000
LINKBUSD;30.58000000
ETCBUSD;54.82000000
STXBNB;0.00450000
STXBTC;0.00003519
STXUSDT;2.15800000
KAVABNB;0.01217000
KAVABTC;0.00009530
KAVAUSDT;5.84400000
BUSDNGN;462.64000000
BNBNGN;43608.00000000
BTCNGN;34599098.00000000
ARPABNB;0.00031190
ARPABTC;0.00000245
ARPAUSDT;0.14973000
TRXBUSD;0.09978000
EOSBUSD;4.69700000
IOTXUSDT;0.06750000
RLCUSDT;4.06900000
MCOUSDT;2.74400000
XLMBUSD;0.37370000
ADABUSD;2.15100000
CTXCBNB;0.00412200
CTXCBTC;0.00000375
CTXCUSDT;0.23030000
BCHBNB;1.30200000
BCHBTC;0.01019000
BCHUSDT;624.80000000
BCHUSDC;625.10000000
BCHTUSD;630.00000000
BCHPAX;617.72000000
BCHBUSD;624.60000000
BTCRUB;4325758.00000000
ETHRUB;283672.60000000
XRPRUB;76.83000000
BNBRUB;33862.59000000
TROYBNB;0.00003729
TROYBTC;0.00000018
TROYUSDT;0.01791000
BUSDRUB;70.56000000
QTUMBUSD;13.06300000
VETBUSD;0.13628000
VITEBNB;0.00070700
VITEBTC;0.00000158
VITEUSDT;0.09707000
FTTBNB;0.13090000
FTTBTC;0.00102570
FTTUSDT;62.89000000
BTCTRY;589994.00000000
BNBTRY;4615.00000000
BUSDTRY;9.61900000
ETHTRY;38704.00000000
XRPTRY;10.47400000
USDTTRY;9.61900000
USDTRUB;70.56000000
BTCEUR;52848.67000000
ETHEUR;3468.68000000
BNBEUR;413.70000000
XRPEUR;0.93870000
EURBUSD;1.16100000
EURUSDT;1.16100000
OGNBNB;0.00173300
OGNBTC;0.00001355
OGNUSDT;0.83100000
DREPBNB;0.00009380
DREPBTC;0.00001154
DREPUSDT;0.70830000
BULLUSDT;1370.28000000
BULLBUSD;1368.56000000
BEARUSDT;11.16000000
BEARBUSD;11.14000000
ETHBULLUSDT;79.18000000
ETHBULLBUSD;78.46000000
ETHBEARUSDT;12.20000000
ETHBEARBUSD;12.24000000
TCTBNB;0.00041860
TCTBTC;0.00000059
TCTUSDT;0.03598000
WRXBNB;0.00278100
WRXBTC;0.00002177
WRXUSDT;1.33700000
ICXBUSD;2.06400000
BTSUSDT;0.04777000
BTSBUSD;0.01930000
LSKUSDT;3.70000000
BNTUSDT;4.17000000
BNTBUSD;4.16400000
LTOBNB;0.00248000
LTOBTC;0.00000454
LTOUSDT;0.27880000
ATOMBUSD;35.90000000
DASHBUSD;195.80000000
NEOBUSD;44.23000000
WAVESBUSD;28.08000000
XTZBUSD;6.74800000
EOSBULLUSDT;3.85000000
EOSBULLBUSD;3.90000000
EOSBEARUSDT;30.21000000
EOSBEARBUSD;29.81000000
XRPBULLUSDT;8.74000000
XRPBULLBUSD;8.78000000
XRPBEARUSDT;548.55000000
XRPBEARBUSD;547.33000000
BATBUSD;0.70870000
ENJBUSD;1.81300000
NANOBUSD;5.40100000
ONTBUSD;0.95560000
RVNBUSD;0.12403000
STRATBUSD;0.49150000
STRATBNB;0.01900000
STRATUSDT;0.49040000
AIONBUSD;0.07210000
AIONUSDT;0.17580000
MBLBNB;0.00002153
MBLBTC;0.00000005
MBLUSDT;0.01021900
COTIBNB;0.00108830
COTIBTC;0.00000853
COTIUSDT;0.52260000
ALGOBUSD;1.89420000
BTTBUSD;0.00364000
TOMOBUSD;2.56800000
XMRBUSD;266.10000000
ZECBUSD;171.50000000
BNBBULLUSDT;57.21000000
BNBBULLBUSD;58.37000000
BNBBEARUSDT;58.61000000
BNBBEARBUSD;57.21000000
STPTBNB;0.00067000
STPTBTC;0.00000253
STPTUSDT;0.15464000
BTCZAR;857014.00000000
ETHZAR;27850.40000000
BNBZAR;5000.00000000
USDTZAR;14.02300000
BUSDZAR;13.88800000
BTCBKRW;42029197.00000000
ETHBKRW;1277799.00000000
BNBBKRW;44687.00000000
WTCUSDT;1.02370000
DATABUSD;0.14694000
DATAUSDT;0.14666000
XZCUSDT;4.44600000
SOLBNB;0.41460000
SOLBTC;0.00324210
SOLUSDT;198.96000000
SOLBUSD;198.91000000
BTCIDRT;693891182.00
BNBIDRT;6807772.00
USDTIDRT;14116.00
BUSDIDRT;14389.00
